recall_number,status,classification,state,country,recalling_firm,product_description,reason_for_recall,voluntary_mandated,recall_initiation_date,report_date,termination_date
F-0714-2021,Terminated,Class I,NY,United States,Banner Smoked Fish Inc.,"Banner Smoked Fish Inc. brand Sliced Gravlax (Salmon (fish), Salt, Sugar, Dill, Pepper, Sodium Nitrite)",Product may be contaminated with Listeria monocytogenes.,Voluntary: Firm initiated,20210601,20210630,20211116
F-1998-2019,Terminated,Class II,WI,United States,"Kerry, Inc","Breader, Item Number 30753150.49, Net Wt. 50 lb, Distributed by Kerry Ingredients & Flavours, Beloit, WI",Product contains foreign material (nylon string),Voluntary: Firm initiated,20190729,20190821,20200206
F-1039-2014,Terminated,Class I,WI,United States,"Garden-Fresh Foods, Inc.","Garden-Fresh,	Seafood Salad Rouille,	1/5 lb.,		0 11596 55187 6,	12/6/2013;","Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",Voluntary: Firm initiated,20131107,20131225,20151029
F-1938-2013,Terminated,Class III,CA,United States,Healthmaxx Global Inc.,"MAX Brand RESVERATROL, 120 Count Capsules.    Product labeling reads in part:""MAX RESVERATROL***Dietary Supplement 120 CAPSULES***Manufactured in FDA Approved Facility for:HealthMax Products Inc. Altadena, CA 91001***0 65176 30325 6"".","In response to a FDA inspection, the firm initiated this voluntary recall of various dietary supplements due to the following problems of mislabeling: 1) product named on the label is not actual product contained; 2)ingredients listed are not actual ingredients contained.",Voluntary: Firm initiated,20130610,20131002,20141114
F-1985-2017,Terminated,Class I,NY,United States,"Landies Candies, Inc.","Wegmans Milk Chocolate Sucker, NET WT 3 OZ.  The product is shipped within a carton labeled with an orange label as  WEGMANS SWISS RECIPE Milk Chocolate Big Ear Bunny Sucker (3 oz 36 count case).  The individual product contains a lavender label and read Wegmans Milk Chocolate Sucker,  comes in a 3-oz., clear plastic flow wrap 6  long by 2  wide.",Contains Undeclared Peanuts,Voluntary: Firm initiated,20170306,20170426,20180709
F-1229-2014,Terminated,Class I,OR,United States,"Reser's Fine Foods, Inc.","Stonemill Tabouli Salad, Formula VE.105 packaged in  2/5-lb (UPC 071117114966) carton cases.  Reser's Fine Foods, Inc., Beaverton, OR.",The recalled products are potentially contaminated with Listeria monocytogenes.,Voluntary: Firm initiated,20131022,20140101,20170124
F-0095-2020,Terminated,Class I,MN,United States,"Coborn's, Inc","Chicken Salad Croissant Sandwich, UPC 2 07275-XXXXX.  Keep Refrigerated.",Chicken Salad sandwiches have the potential to be contaminated with Listeria monocytogenes.,Voluntary: Firm initiated,20191001,20191030,20191204
F-0554-2016,Terminated,Class II,CA,United States,"Albertsons Companies, Inc.","Pantry Essentials Hot Dog Buns;  8 buns; NET WT 12 oz 340 g  UPC 0 21130 27084 2;  Distributed for: Lucerne Foods Inc.  Pleasanton, CA 94566    Contains: Wheat  May Contain eggs, milk.",Cloth material that is part of the production equipment may be in the product.,Voluntary: Firm initiated,20160110,20160217,20160209
F-1025-2018,Terminated,Class II,MN,United States,"Mrs Gerry's Kitchen, Inc","Mrs. Gerry's Deviled Egg Potato Salad, Packaged into the following size containers:    1.  Net Wt. 3 lb. (1.36 kg) UPC 17839-09003,     2.  Net Wt. 5 lb. (2.26 kg), UPC 17839-09005.    3.  Net Wt. 12 lb. (5.45 kg), UPC 17839-09012  Keep Refrigerated.  Manufactured by Mrs. Gerry's, Albert Lea, MN  56007",Firm is recalling various Egg Salads and Potato Salads because they may contain undeclared traces of imitation crab meat,Voluntary: Firm initiated,20180325,20180425,20190621
F-1218-2024,Ongoing,Class II,CA,United States,Sacramento Cookie Factory,California Wine Wafer - Mocha Chocolate and Original Wine Wafer - Mocha Chocolate [Two sizes: retail package of 8 wafers (7 oz) and retail gift package of 2 wafers (2 oz)],Undeclared allergen (milk),Voluntary: Firm initiated,20240417,20240515,
